language_code,id,name,meaning,popularity_rank
de,40e87ed0-7099-594f-8eb1-3022d957106c,Beatriz,She who brings happiness; blessed,1
de,3c1181e3-95a4-56a8-a00b-6e63436ebe72,Beatriz,She who brings happiness; blessed,1
de,6a27e1b1-a40d-59f0-90f6-044a8350b0b3,Emilia,Industrious; eager; rival,1
de,0255770a-a91d-5247-99f4-8ca6445cbd5b,Emma,Whole; universal; all-embracing,1
de,4f668d55-71bd-5b56-b1a0-63427f44fb2f,Gabriel,God is my strength,1
de,8d03ae84-36af-5e2c-984b-4b7d98c23478,Gabriel,God is my strength,1
de,67ce0f17-b2c4-5651-9b8c-7e5b6af6874e,Gabriel,God is my strength,1
de,58902488-248c-5604-9c5b-0683bbb3355b,Hugo,Mind; intellect; spirit,1
de,c45089c8-8efb-5864-86d5-547c97693c91,Jade,Precious green stone; side stone,1
de,3e79bf6d-322a-5564-91bd-768c247134d5,Jade,Precious green stone; side stone,1
de,f4e1c8bf-516e-5c64-be7a-b44546be9f8b,Jade,Precious green stone; side stone,1
de,6c233a87-a5cd-5ffb-bf25-e759871a3b4c,Léo,Lion; brave,1
de,412eff94-ccb9-5849-aa6f-526fbe17b777,Leonardo,Brave lion; strong as a lion,1
de,520b0c62-e020-5ed6-a014-1f769b9f7bcc,Louise,Famous warrior; renowned fighter,1
de,223d6a31-5ca2-586c-8740-e68cc5282db3,Lucia,Light; graceful light,1
de,6d2ca559-5803-5b16-b696-85e8fec81920,Noah,Rest; comfort,1
de,bf655c91-d6d3-57b7-b209-95a0941f8025,Noah,Rest; comfort,1
de,ca4a7cae-8258-5e61-83a9-d66525209c98,Pedro,Rock; stone,1
de,303ddbfd-b99d-5ccd-9c1e-59f403278876,Pedro,Rock; stone,1
de,c3983e78-4096-5abd-88f1-badf79afc7d6,Sofia,Wisdom; wise one,1
de,e0da5ca9-3fe8-5711-9c10-140ae4e7491c,Ambre,Amber; precious jewel,2
de,aeff0c07-96d6-5c49-9ee0-77be418f935b,Aurora,Dawn; goddess of the morning,2
de,bb204081-6110-5349-a460-96d359020685,Edoardo,Wealthy guardian; rich protector,2
de,c4600cee-debc-5025-a76a-17996cfdf986,Gabriel,God is my strength,2
de,1da22299-e363-58ce-8207-7597a8d532fd,Joana,God is gracious,2
de,95f10a6c-a17d-5620-b507-13f953b29040,Joana,God is gracious,2
de,ceaf9a3c-f877-5772-b7c2-dd6ebcd5c705,Léo,Lion; brave,2
de,b5c0a0c8-d206-50c6-81ac-ecc6d7b7e151,Léo,Lion; brave,2
de,f936d44a-f33f-545f-a5a3-98ad9295f3c8,Louise,Famous warrior; renowned fighter,2
de,03c2f638-0f4f-5f40-af4b-7f8ae2818e6f,Louise,Famous warrior; renowned fighter,2
de,64fdb86a-892c-53d7-b968-6d648380fc41,Louise,Famous warrior; renowned fighter,2
de,8b7ecf2b-ee84-5a34-8126-fc30d67222b8,Luca,Bringer of light; from Lucania,2
de,8ffb6a10-6353-5f14-8a7d-73955d902339,Mateo,Gift of God,2
de,65cdc9bd-cd0d-5bfc-afcb-611c73d22602,Matteo,Gift of God,2
de,7fd5c56d-4df3-5fdc-a057-1de546879932,Olivia,Olive tree; peace; symbol of peace,2
de,8ac168d2-8685-5b23-b418-2d2b02c877d2,RAPHAËL,God has healed; divine healer,2
de,c9dd1760-cc49-5be2-af2f-aabd31603127,Sofia,Wisdom; wise one,2
de,1b1cbee8-fef4-5887-8886-f8e6ecf003b5,Sophia,Wisdom; wise one,2
de,2d92e05b-e5ce-5c82-92bb-8fefd1373833,Thiago,Supplanter; may God protect,2
de,9b48a04d-2328-5359-992d-01c1ba5344f6,Thiago,Supplanter; may God protect,2
de,25238664-9473-5be5-a58f-339818e99d84,Alba,Dawn; white,3
de,37acae37-82f3-53b9-ad4c-b54ed4c1ce98,Ambre,Amber; precious jewel,3
de,399b8322-6882-537d-a66e-9554780f81d3,Elias,The Lord is my God,3
de,a2946a1c-5d31-5ce4-9b42-c77fd0784933,Emma,Whole; universal; all-embracing,3
de,6613257a-d3a0-52f8-bae2-02c860eda3a1,Emma,Whole; universal; all-embracing,3
de,2b0d1546-1c25-5194-a33c-af9aa10b2c64,Emma,Whole; universal; all-embracing,3
de,381b65f1-6361-5555-b2a4-e0f9bbc78414,Ginevra,White wave; fair one,3
de,aae38713-c599-53d9-887b-d156c585fb20,Ines,Pure; holy; chaste,3
de,cf612c2b-0936-5143-8515-d4fbbae4c4d8,Ines,Pure; holy; chaste,3
de,00db62c2-6abd-5d7b-bac0-ce12a9d4eb5f,Léo,Lion; brave,3
